vacancy,min_salary,max_salary,currency,url,source,employer
Системный администратор Linux (Техническая поддержка web-приложений),40000.0,55000.0,руб.,https://spb.hh.ru/vacancy/38001067?query=sql,https://www.hh.ru, ПэйКипер
Системный администратор Linux (Техническая поддержка web-приложений),40000.0,55000.0,руб.,https://spb.hh.ru/vacancy/38001068?query=sql,https://www.hh.ru, ПэйКипер
Системный аналитик,,,,https://spb.hh.ru/vacancy/39966015?query=sql,https://www.hh.ru, Kokoc Group
Специалист по внедрению и сопровождению информационных систем,,,,https://spb.hh.ru/vacancy/39567483?query=sql,https://www.hh.ru,ООО КОМТЕК
Специалист по внедрению информационной системы,30000.0,40000.0,руб.,https://spb.hh.ru/vacancy/39841463?query=sql,https://www.hh.ru,ООО Архимед плюс
Системный аналитик QORT,,,,https://spb.hh.ru/vacancy/40000503?query=sql,https://www.hh.ru,ОАО ИК Ай Ти Инвест
Системный администратор,,,,https://spb.hh.ru/vacancy/39778115?query=sql,https://www.hh.ru,АО КБ Космос
Разработчик DWH,,,,https://spb.hh.ru/vacancy/40001164?query=sql,https://www.hh.ru, IBS
Ведущий тестировщик Отдела тестирования хранилищ данных,,,,https://spb.hh.ru/vacancy/40001608?query=sql,https://www.hh.ru, Почта Банк
Ведущий тестировщик Отдела тестирования хранилищ данных,,,,https://spb.hh.ru/vacancy/40001609?query=sql,https://www.hh.ru, Почта Банк
Ведущий тестировщик Отдела тестирования хранилищ данных,,,,https://spb.hh.ru/vacancy/40001610?query=sql,https://www.hh.ru, Почта Банк
Инженер по тестированию,,,,https://spb.hh.ru/vacancy/39931612?query=sql,https://www.hh.ru, IT2G
C# разработчик,,,,https://spb.hh.ru/vacancy/39972038?query=sql,https://www.hh.ru,ТОО Kazdream Technologies
Frontend-разработчик (React),,,,https://spb.hh.ru/vacancy/39751882?query=sql,https://www.hh.ru, Инсайрес
Инженер по тестированию (процессинг),,,,https://spb.hh.ru/vacancy/39951777?query=sql,https://www.hh.ru," Ренессанс Кредит, Поволжье"
DBA/Администратор баз данных,,,,https://spb.hh.ru/vacancy/37608483?query=sql,https://www.hh.ru, Мостра-групп
Java-разработчик,130000.0,150000.0,руб.,https://spb.hh.ru/vacancy/39665995?query=sql,https://www.hh.ru, HR Development
LUA-разработчик (MTA),,,,https://spb.hh.ru/vacancy/39485419?query=sql,https://www.hh.ru, NEXTRP
Аналитик данных / Data Analyst,,,,https://spb.hh.ru/vacancy/31659191?query=sql,https://www.hh.ru, First Line Software
Tech Lead Java,,,,https://spb.hh.ru/vacancy/39759606?query=sql,https://www.hh.ru,ООО Группа Компаний Wallet One
Программист С++,,,,https://spb.hh.ru/vacancy/39985335?query=sql,https://www.hh.ru,АО НПК Атроник
Программист 1С,,,,https://spb.hh.ru/vacancy/39608425?query=sql,https://www.hh.ru,ООО УК КатЛаб
Веб-программист,,,,https://spb.hh.ru/vacancy/36900208?query=sql,https://www.hh.ru, MX group
Разработчик Java (Backend),,,,https://spb.hh.ru/vacancy/36065859?query=sql,https://www.hh.ru," Протей, НТЦ"
Программист C# Middle,,,,https://spb.hh.ru/vacancy/38322046?query=sql,https://www.hh.ru,ООО Компания ТрэйдСофт
Аналитик,,,,https://spb.hh.ru/vacancy/37169567?query=sql,https://www.hh.ru, Лига Цифровой Экономики
Программист 1С 8,,,,https://spb.hh.ru/vacancy/39206507?query=sql,https://www.hh.ru,ООО ТД Комплект
PHP Backend разработчик,2500.0,4500.0, EUR,https://spb.hh.ru/vacancy/39614427?query=sql,https://www.hh.ru,ООО Диджитал Лайн
Тестировщик ПО (десктоп),,,,https://spb.hh.ru/vacancy/39847106?query=sql,https://www.hh.ru," iiko, Компания Aйко"
Java-разработчик,,,,https://spb.hh.ru/vacancy/39493430?query=sql,https://www.hh.ru, CRIF
Junior PHP Developer (удаленно),15000.0,50000.0,руб.,https://spb.hh.ru/vacancy/39984113?query=sql,https://www.hh.ru, 8d9.ru
Junior Java Developer,,,,https://spb.hh.ru/vacancy/39439830?query=sql,https://www.hh.ru,ООО Софт Компани
Ведущий тестировщик Отдела тестирования хранилищ данных,,,,https://spb.hh.ru/vacancy/40001319?query=sql,https://www.hh.ru, Почта Банк
Ведущий тестировщик Отдела тестирования хранилищ данных,,,,https://spb.hh.ru/vacancy/40001320?query=sql,https://www.hh.ru, Почта Банк
Ведущий тестировщик Отдела тестирования хранилищ данных,,,,https://spb.hh.ru/vacancy/40001321?query=sql,https://www.hh.ru, Почта Банк
Ведущий тестировщик Отдела тестирования хранилищ данных,,,,https://spb.hh.ru/vacancy/40001322?query=sql,https://www.hh.ru, Почта Банк
QA Web engineer,,,,https://spb.hh.ru/vacancy/39736487?query=sql,https://www.hh.ru, Badoo
.net разработчик,,,,https://spb.hh.ru/vacancy/39900508?query=sql,https://www.hh.ru," «РОСБАНК, Societe Generale Group», с опытом работы"
Программист 1C,,,,https://spb.hh.ru/vacancy/39726418?query=sql,https://www.hh.ru," Прок, группа компаний"
Системный аналитик (проект Сбербанк),,,,https://spb.hh.ru/vacancy/38848999?query=sql,https://www.hh.ru, Бэнкс Софт Системс
Системный аналитик (DWH),,,,https://spb.hh.ru/vacancy/40008418?query=sql,https://www.hh.ru, Сбер для экспертов
Разработчик Java,,,,https://spb.hh.ru/vacancy/37015866?query=sql,https://www.hh.ru, Комос Групп
Аналитик Data Governance,,,,https://spb.hh.ru/vacancy/39547295?query=sql,https://www.hh.ru, Билайн: Контактные центры
Аналитик,,,,https://spb.hh.ru/vacancy/37067273?query=sql,https://www.hh.ru, Точка
Системный аналитик,,,,https://spb.hh.ru/vacancy/39543299?query=sql,https://www.hh.ru, ЭОС
Системный аналитик,,,,https://spb.hh.ru/vacancy/39543300?query=sql,https://www.hh.ru, ЭОС
Системный аналитик,,,,https://spb.hh.ru/vacancy/39543303?query=sql,https://www.hh.ru, ЭОС
Системный аналитик,,,,https://spb.hh.ru/vacancy/39543304?query=sql,https://www.hh.ru, ЭОС
Системный аналитик,,,,https://spb.hh.ru/vacancy/39543305?query=sql,https://www.hh.ru, ЭОС
Backend-разработчик,,,,https://spb.hh.ru/vacancy/39517561?query=sql,https://www.hh.ru,ООО Факторинг Плюс
PHP-программист \ Ведущий PHP-программист,,,,https://spb.hh.ru/vacancy/39505094?query=sql,https://www.hh.ru,ЗАО Цифровые Миры
Lead/Senior C#/.NET разработчик,,,,https://spb.hh.ru/vacancy/39016059?query=sql,https://www.hh.ru," Лента, федеральная розничная сеть, IT "
Тестировщик программного обеспечения,55000.0,80000.0,руб.,https://spb.hh.ru/vacancy/39894867?query=sql,https://www.hh.ru,ООО АйДиСистемс
Программист Java,,,,https://spb.hh.ru/vacancy/39952372?query=sql,https://www.hh.ru, Andersen
Программист 1С,150000.0,400000.0, KZT,https://spb.hh.ru/vacancy/38772595?query=sql,https://www.hh.ru,ТОО Ристарт Технологии
